Linux 6.11.0-14-generic (osboxes) 	02/20/2025 	_x86_64_	(4 CPU)

09:10:51 PM   UID       PID   cswch/s nvcswch/s  Command
09:10:52 PM     0        17      5.77      0.00  rcu_preempt
09:10:52 PM     0        53      1.92      0.00  kcompactd0
09:10:52 PM     0       476      3.85      0.00  irq/16-vmwgfx
09:10:52 PM   990      1162      0.96      0.00  systemd-oomd
09:10:52 PM     0      1169     10.58      0.00  vmtoolsd
09:10:52 PM  1000      2804     14.42      0.96  gnome-shell
09:10:52 PM  1000      2901     21.15      0.00  ibus-daemon
09:10:52 PM  1000      3035      9.62      0.00  vmtoolsd
09:10:52 PM  1000      3123      0.96      0.00  ibus-extension-
09:10:52 PM  1000      3246      3.85      7.69  ibus-engine-sim
09:10:52 PM  1000      3928      8.65      0.00  gnome-terminal-
09:10:52 PM     0      5419      5.77      0.96  kworker/u515:3-events_unbound
09:10:52 PM     0      5823      0.96      0.00  kworker/0:1-events
09:10:52 PM     0      5851      0.96      0.00  kworker/u513:2-events_unbound
09:10:52 PM     0      5886      0.96      0.00  kworker/2:2-events
09:10:52 PM     0      5916      6.73      0.00  kworker/3:0-events
09:10:52 PM     0      5993      0.96      0.00  kworker/u514:3-events_unbound
09:10:52 PM     0      6215      3.85      0.00  kworker/1:1-events
09:10:52 PM  1000      6224      0.96      0.96  pidstat

09:10:52 PM   UID       PID   cswch/s nvcswch/s  Command
09:10:53 PM     0         1      1.00      0.00  systemd
09:10:53 PM     0        53      2.00      0.00  kcompactd0
09:10:53 PM     0       409      1.00      0.00  systemd-journal
09:10:53 PM     0       476     16.00      0.00  irq/16-vmwgfx
09:10:53 PM     0      1169     11.00      0.00  vmtoolsd
09:10:53 PM  1000      2804     68.00     36.00  gnome-shell
09:10:53 PM  1000      2901    100.00      4.00  ibus-daemon
09:10:53 PM  1000      3035     10.00      0.00  vmtoolsd
09:10:53 PM  1000      3123      7.00      0.00  ibus-extension-
09:10:53 PM  1000      3246     23.00      9.00  ibus-engine-sim
09:10:53 PM  1000      3928     36.00      4.00  gnome-terminal-
09:10:53 PM     0      5419     17.00      3.00  kworker/u515:3-events_unbound
09:10:53 PM     0      5823      2.00      0.00  kworker/0:1-events
09:10:53 PM     0      5886      3.00      0.00  kworker/2:2-events
09:10:53 PM     0      5916     17.00      0.00  kworker/3:0-events
09:10:53 PM     0      5993     10.00      2.00  kworker/u514:3-events_unbound
09:10:53 PM     0      6135      9.00      0.00  kworker/u514:2-events_unbound
09:10:53 PM     0      6215      7.00      0.00  kworker/1:1-events
09:10:53 PM  1000      6224      1.00      1.00  pidstat
09:10:53 PM  1000      6225      1.00      0.00  tee

09:10:53 PM   UID       PID   cswch/s nvcswch/s  Command
09:10:54 PM     0        17      5.00      0.00  rcu_preempt
09:10:54 PM     0        38      1.00      0.00  ksoftirqd/3
09:10:54 PM     0        53      2.00      0.00  kcompactd0
09:10:54 PM     0       476     12.00      0.00  irq/16-vmwgfx
09:10:54 PM   990      1162      1.00      0.00  systemd-oomd
09:10:54 PM     0      1169     14.00      0.00  vmtoolsd
09:10:54 PM  1000      2804     52.00     30.00  gnome-shell
09:10:54 PM  1000      2901     98.00      9.00  ibus-daemon
09:10:54 PM  1000      3035     10.00      0.00  vmtoolsd
09:10:54 PM  1000      3123      5.00      0.00  ibus-extension-
09:10:54 PM  1000      3246     19.00      0.00  ibus-engine-sim
