Linux 6.11.0-14-generic (osboxes) 	02/20/2025 	_x86_64_	(4 CPU)

11:42:58 PM   UID       PID   cswch/s nvcswch/s  Command
11:42:59 PM     0        17     35.64      0.00  rcu_preempt
11:42:59 PM     0        37      0.99      0.00  migration/3
11:42:59 PM     0        38      0.99      0.00  ksoftirqd/3
11:42:59 PM     0        53      1.98      0.00  kcompactd0
11:42:59 PM     0       476     10.89      0.00  irq/16-vmwgfx
11:42:59 PM     0      1169     13.86      0.00  vmtoolsd
11:42:59 PM  1000      2804     36.63     13.86  gnome-shell
11:42:59 PM  1000      2901    191.09      0.00  ibus-daemon
11:42:59 PM  1000      3035      9.90      0.00  vmtoolsd
11:42:59 PM  1000      3123      7.92      0.00  ibus-extension-
11:42:59 PM  1000      3246     25.74      3.96  ibus-engine-sim
11:42:59 PM  1000      3928     26.73      9.90  gnome-terminal-
11:42:59 PM     0      5313      0.99      0.00  kworker/0:1H-kblockd
11:42:59 PM     0      5823      3.96      0.00  kworker/0:1-events
11:42:59 PM     0      6142      0.99      0.00  kworker/u513:3-flush-8:0
11:42:59 PM     0      6266      0.99      0.00  kworker/u513:0-events_unbound
11:42:59 PM     0      6491     14.85      0.00  kworker/3:3-events
11:42:59 PM     0      6590      1.98      0.99  kworker/u516:2-events_power_efficient
11:42:59 PM     0      6593      5.94      1.98  kworker/u514:0-events_unbound
11:42:59 PM     0      6677      1.98      0.00  kworker/1:0-events
11:42:59 PM     0      6688     10.89      9.90  kworker/u516:1-events_unbound
11:42:59 PM     0      6728      6.93      0.99  kworker/u514:2-events_unbound
11:42:59 PM     0      6801      0.99      0.00  kworker/u515:1-events_unbound
11:42:59 PM     0      7086    102.97      0.99  appstreamcli
11:42:59 PM  1000      7136      0.99      0.00  pidstat
11:42:59 PM     0      7138      2.97      4.95  tar

11:42:59 PM   UID       PID   cswch/s nvcswch/s  Command
11:43:00 PM     0        17     88.00      0.00  rcu_preempt
11:43:00 PM     0        20      1.00      0.00  migration/0
11:43:00 PM     0        25      1.00      0.00  migration/1
11:43:00 PM     0        31      1.00      0.00  migration/2
11:43:00 PM     0        32      1.00      0.00  ksoftirqd/2
11:43:00 PM     0        37      1.00      0.00  migration/3
11:43:00 PM     0        38      5.00      0.00  ksoftirqd/3
11:43:00 PM     0        53      1.00      0.00  kcompactd0
11:43:00 PM     0       356      3.00      0.00  jbd2/sda2-8
11:43:00 PM     0       476     17.00      0.00  irq/16-vmwgfx
11:43:00 PM     0       707      1.00      0.00  irq/57-vmw_vmci
11:43:00 PM     0       709      2.00      0.00  irq/59-vmw_vmci
11:43:00 PM   990      1162      1.00      0.00  systemd-oomd
11:43:00 PM     0      1169     13.00      2.00  vmtoolsd
11:43:00 PM  1000      2804    126.00     13.00  gnome-shell
11:43:00 PM  1000      2901    209.00      4.00  ibus-daemon
11:43:00 PM  1000      3035     11.00      0.00  vmtoolsd
11:43:00 PM  1000      3123      9.00      0.00  ibus-extension-
11:43:00 PM  1000      3246     34.00      2.00  ibus-engine-sim
11:43:00 PM  1000      3928     60.00     17.00  gnome-terminal-
11:43:00 PM     0      5823      7.00      0.00  kworker/0:1-mpt_poll_0
11:43:00 PM     0      6142      1.00      1.00  kworker/u513:3-flush-8:0
11:43:00 PM     0      6266      1.00      0.00  kworker/u513:0-flush-8:0
11:43:00 PM     0      6491     22.00      0.00  kworker/3:3-events
11:43:00 PM     0      6561      1.00      0.00  kworker/u515:0-events_power_efficient
11:43:00 PM     0      6590      2.00      1.00  kworker/u516:2-events_unbound
11:43:00 PM     0      6593     63.00      0.00  kworker/u514:0-events_unbound
11:43:00 PM     0      6677      4.00      0.00  kworker/1:0-mm_percpu_wq
11:43:00 PM     0      6688     30.00     24.00  kworker/u516:1-events_unbound
11:43:00 PM     0      6700      2.00      0.00  kworker/2:0-mm_percpu_wq
11:43:00 PM     0      6728      8.00      5.00  kworker/u514:2-events_unbound
11:43:00 PM     0      6801      1.00      0.00  kworker/u515:1-events_unbound
11:43:00 PM     0      7086    231.00      5.00  appstreamcli
11:43:00 PM  1000      7136      1.00      1.00  pidstat
11:43:00 PM  1000      7137      1.00     55.00  tee
11:43:00 PM     0      7138     19.00     48.00  tar

11:43:00 PM   UID       PID   cswch/s nvcswch/s  Command
11:43:01 PM     0        16      4.00      0.00  ksoftirqd/0
11:43:01 PM     0        17    118.00      0.00  rcu_preempt
11:43:01 PM     0        26      2.00      0.00  ksoftirqd/1
11:43:01 PM     0        32      1.00      0.00  ksoftirqd/2
11:43:01 PM     0        38      4.00      0.00  ksoftirqd/3
11:43:01 PM     0        53      2.00      0.00  kcompactd0
11:43:01 PM     0       476     54.00      0.00  irq/16-vmwgfx
11:43:01 PM   990      1162      1.00      0.00  systemd-oomd
11:43:01 PM     0      1169     11.00      0.00  vmtoolsd
11:43:01 PM  1000      2804    206.00     56.00  gnome-shell
11:43:01 PM  1000      2901    103.00      2.00  ibus-daemon
11:43:01 PM  1000      3035     11.00      0.00  vmtoolsd
11:43:01 PM  1000      3123      6.00      0.00  ibus-extension-
11:43:01 PM  1000      3246     36.00      2.00  ibus-engine-sim
11:43:01 PM  1000      3335      1.00      7.00  Xwayland
11:43:01 PM  1000      3711      6.00      0.00  mutter-x11-fram
11:43:01 PM  1000      3928    594.00    181.00  gnome-terminal-
11:43:01 PM     0      5823      5.00      0.00  kworker/0:1-mm_percpu_wq
11:43:01 PM     0      5894      1.00      0.00  kworker/1:1H-kblockd
11:43:01 PM  1000      6036      1.00      1.00  bash
11:43:01 PM     0      6142    634.00     16.00  kworker/u513:3-events_unbound
11:43:01 PM     0      6266     57.00      5.00  kworker/u513:0-events_unbound
11:43:01 PM     0      6491      9.00      1.00  kworker/3:3-mm_percpu_wq
11:43:01 PM     0      6496      1.00      0.00  kworker/3:1H-kblockd
11:43:01 PM     0      6561     21.00      0.00  kworker/u515:0-events_unbound
11:43:01 PM     0      6590    372.00     27.00  kworker/u516:2-events_unbound
11:43:01 PM     0      6677      4.00      0.00  kworker/1:0-mm_percpu_wq
11:43:01 PM     0      6688     88.00     40.00  kworker/u516:1-events_unbound
11:43:01 PM     0      6700      1.00      0.00  kworker/2:0-mm_percpu_wq
11:43:01 PM     0      6728    117.00      0.00  kworker/u514:2-events_unbound
11:43:01 PM     0      6801    128.00      0.00  kworker/u515:1-events_unbound
11:43:01 PM     0      7086    300.00     32.00  appstreamcli
11:43:01 PM  1000      7136      1.00     82.00  pidstat
11:43:01 PM  1000      7137      2.00     77.00  tee
11:43:01 PM     0      7139     70.00     39.00  tar
11:43:01 PM  1000      7140     65.00    990.00  a.exe

11:43:01 PM   UID       PID   cswch/s nvcswch/s  Command
11:43:02 PM     0         1      1.00      0.00  systemd
11:43:02 PM     0         2      1.00      0.00  kthreadd
11:43:02 PM     0        17    165.00      0.00  rcu_preempt
11:43:02 PM     0        26      4.00      0.00  ksoftirqd/1
11:43:02 PM     0        32      2.00      0.00  ksoftirqd/2
11:43:02 PM     0        38      3.00      0.00  ksoftirqd/3
11:43:02 PM     0        53      2.00      0.00  kcompactd0
11:43:02 PM     0       409      1.00      2.00  systemd-journal
11:43:02 PM     0       476     61.00      0.00  irq/16-vmwgfx
11:43:02 PM   990      1162      1.00      0.00  systemd-oomd
11:43:02 PM     0      1169     11.00      0.00  vmtoolsd
11:43:02 PM     0      1563      1.00      0.00  wpa_supplicant
11:43:02 PM  1000      2804    177.00     57.00  gnome-shell
11:43:02 PM  1000      2901     25.00      0.00  ibus-daemon
11:43:02 PM  1000      3035     14.00      0.00  vmtoolsd
11:43:02 PM  1000      3123      3.00     14.00  ibus-extension-
11:43:02 PM  1000      3246      3.00      4.00  ibus-engine-sim
11:43:02 PM  1000      3335      5.00      5.00  Xwayland
11:43:02 PM  1000      3711      8.00      0.00  mutter-x11-fram
11:43:02 PM  1000      3762      2.00      0.00  gjs
11:43:02 PM  1000      3928   4317.00   1582.00  gnome-terminal-
11:43:02 PM     0      5823      5.00      0.00  kworker/0:1-mpt_poll_0
11:43:02 PM  1000      6036      3.00      1.00  bash
11:43:02 PM     0      6142   3364.00     82.00  kworker/u513:3-events_unbound
11:43:02 PM     0      6266    504.00     34.00  kworker/u513:0-events_unbound
11:43:02 PM     0      6491      8.00      0.00  kworker/3:3-events
11:43:02 PM     0      6496      1.00      0.00  kworker/3:1H-kblockd
11:43:02 PM     0      6544     10.00      2.00  kworker/u516:3-events_unbound
11:43:02 PM     0      6556      4.00      0.00  kworker/u520:2-ttm
11:43:02 PM     0      6590   1537.00     85.00  kworker/u516:2-events_unbound
11:43:02 PM     0      6593    538.00      0.00  kworker/u514:0-events_unbound
11:43:02 PM     0      6618     24.00     18.00  kworker/u520:5-ttm
11:43:02 PM     0      6677      3.00      0.00  kworker/1:0-events
11:43:02 PM     0      6688   1295.00     43.00  kworker/u516:1-events_unbound
11:43:02 PM     0      6700      4.00      0.00  kworker/2:0-events
11:43:02 PM     0      6728   1554.00      2.00  kworker/u514:2-events_unbound
11:43:02 PM     0      6801    345.00      1.00  kworker/u515:1-events_unbound
11:43:02 PM     0      6805     23.00      3.00  kworker/u520:0-ttm
11:43:02 PM     0      7076      1.00      0.00  packagekitd
11:43:02 PM     0      7086    168.00     34.00  appstreamcli
11:43:02 PM     0      7091      3.00      0.00  kworker/u513:1
11:43:02 PM  1000      7136      1.00      3.00  pidstat
11:43:02 PM  1000      7137      1.00      0.00  tee
11:43:02 PM     0      7145      3.00      1.00  kworker/u520:1-ttm

11:43:02 PM   UID       PID   cswch/s nvcswch/s  Command
11:43:03 PM     0        16      1.00      0.00  ksoftirqd/0
