F S   UID     PID    PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
4 S     0       1       0  0  80   0 -  5913 -      ?        00:00:06 systemd
1 S     0       2       0  0  80   0 -     0 -      ?        00:00:00 kthreadd
1 S     0       3       2  0  80   0 -     0 -      ?        00:00:00 pool_workqueue_release
1 I     0       4       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-rcu_gp
1 I     0       5       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-sync_wq
1 I     0       6       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-slub_flushwq
1 I     0       7       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-netns
1 I     0       9       2  0  80   0 -     0 -      ?        00:00:00 kworker/0:1-cgroup_destroy
1 I     0      10       2  0  60 -20 -     0 -      ?        00:00:00 kworker/0:0H-events_highpri
1 I     0      11       2  0  80   0 -     0 -      ?        00:00:00 kworker/u512:0-ipv6_addrconf
1 I     0      12       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-mm_percpu_wq
1 I     0      13       2  0  80   0 -     0 -      ?        00:00:00 rcu_tasks_kthread
1 I     0      14       2  0  80   0 -     0 -      ?        00:00:00 rcu_tasks_rude_kthread
1 I     0      15       2  0  80   0 -     0 -      ?        00:00:00 rcu_tasks_trace_kthread
1 S     0      16       2  0  80   0 -     0 -      ?        00:00:00 ksoftirqd/0
1 I     0      17       2  0  80   0 -     0 -      ?        00:00:00 rcu_preempt
1 S     0      18       2  0  80   0 -     0 -      ?        00:00:00 rcu_exp_par_gp_kthread_worker/1
1 S     0      19       2  0  80   0 -     0 -      ?        00:00:00 rcu_exp_gp_kthread_worker
1 S     0      20       2  0 -40   - -     0 -      ?        00:00:00 migration/0
1 S     0      21       2  0   9   - -     0 -      ?        00:00:00 idle_inject/0
1 S     0      22       2  0  80   0 -     0 -      ?        00:00:00 cpuhp/0
1 S     0      23       2  0  80   0 -     0 -      ?        00:00:00 cpuhp/1
1 S     0      24       2  0   9   - -     0 -      ?        00:00:00 idle_inject/1
1 S     0      25       2  0 -40   - -     0 -      ?        00:00:00 migration/1
1 S     0      26       2  0  80   0 -     0 -      ?        00:00:00 ksoftirqd/1
1 I     0      28       2  0  60 -20 -     0 -      ?        00:00:00 kworker/1:0H-kblockd
1 S     0      29       2  0  80   0 -     0 -      ?        00:00:00 cpuhp/2
1 S     0      30       2  0   9   - -     0 -      ?        00:00:00 idle_inject/2
1 S     0      31       2  0 -40   - -     0 -      ?        00:00:00 migration/2
1 S     0      32       2  0  80   0 -     0 -      ?        00:00:00 ksoftirqd/2
1 I     0      34       2  0  60 -20 -     0 -      ?        00:00:00 kworker/2:0H-events_highpri
1 S     0      35       2  0  80   0 -     0 -      ?        00:00:00 cpuhp/3
1 S     0      36       2  0   9   - -     0 -      ?        00:00:00 idle_inject/3
1 S     0      37       2  0 -40   - -     0 -      ?        00:00:00 migration/3
1 S     0      38       2  0  80   0 -     0 -      ?        00:00:00 ksoftirqd/3
1 I     0      39       2  0  80   0 -     0 -      ?        00:00:02 kworker/3:0-events
1 I     0      40       2  0  60 -20 -     0 -      ?        00:00:00 kworker/3:0H-events_highpri
5 S     0      45       2  0  80   0 -     0 -      ?        00:00:00 kdevtmpfs
1 I     0      46       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-inet_frag_wq
1 S     0      48       2  0  80   0 -     0 -      ?        00:00:00 kauditd
1 S     0      49       2  0  80   0 -     0 -      ?        00:00:00 khungtaskd
1 S     0      50       2  0  80   0 -     0 -      ?        00:00:00 oom_reaper
1 I     0      52       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-writeback
1 S     0      53       2  0  80   0 -     0 -      ?        00:00:00 kcompactd0
1 S     0      54       2  0  85   5 -     0 -      ?        00:00:00 ksmd
1 S     0      55       2  0  99  19 -     0 -      ?        00:00:00 khugepaged
1 I     0      56       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-kintegrityd
1 I     0      57       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-kblockd
1 I     0      58       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-blkcg_punt_bio
1 S     0      59       2  0   9   - -     0 -      ?        00:00:00 irq/9-acpi
1 I     0      62       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-tpm_dev_wq
1 I     0      63       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-ata_sff
1 I     0      64       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-md
1 I     0      65       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-md_bitmap
1 I     0      66       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-edac-poller
1 I     0      67       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-devfreq_wq
1 S     0      68       2  0   9   - -     0 -      ?        00:00:00 watchdogd
1 I     0      69       2  0  80   0 -     0 -      ?        00:00:00 kworker/u515:1-flush-8:0
1 I     0      70       2  0  60 -20 -     0 -      ?        00:00:00 kworker/2:1H-kblockd
1 S     0      71       2  0  80   0 -     0 -      ?        00:00:00 kswapd0
1 S     0      72       2  0  80   0 -     0 -      ?        00:00:00 ecryptfs-kthread
1 I     0      73       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-kthrotld
1 S     0      74       2  0   9   - -     0 -      ?        00:00:00 irq/24-pciehp
1 S     0      75       2  0   9   - -     0 -      ?        00:00:00 irq/25-pciehp
1 S     0      76       2  0   9   - -     0 -      ?        00:00:00 irq/26-pciehp
1 S     0      77       2  0   9   - -     0 -      ?        00:00:00 irq/27-pciehp
1 S     0      78       2  0   9   - -     0 -      ?        00:00:00 irq/28-pciehp
1 S     0      79       2  0   9   - -     0 -      ?        00:00:00 irq/29-pciehp
1 S     0      80       2  0   9   - -     0 -      ?        00:00:00 irq/30-pciehp
1 S     0      81       2  0   9   - -     0 -      ?        00:00:00 irq/31-pciehp
1 S     0      82       2  0   9   - -     0 -      ?        00:00:00 irq/32-pciehp
1 S     0      83       2  0   9   - -     0 -      ?        00:00:00 irq/33-pciehp
1 S     0      84       2  0   9   - -     0 -      ?        00:00:00 irq/34-pciehp
1 S     0      85       2  0   9   - -     0 -      ?        00:00:00 irq/35-pciehp
1 S     0      86       2  0   9   - -     0 -      ?        00:00:00 irq/36-pciehp
1 S     0      87       2  0   9   - -     0 -      ?        00:00:00 irq/37-pciehp
1 S     0      88       2  0   9   - -     0 -      ?        00:00:00 irq/38-pciehp
1 S     0      89       2  0   9   - -     0 -      ?        00:00:00 irq/39-pciehp
1 S     0      90       2  0   9   - -     0 -      ?        00:00:00 irq/40-pciehp
1 S     0      91       2  0   9   - -     0 -      ?        00:00:00 irq/41-pciehp
1 S     0      92       2  0   9   - -     0 -      ?        00:00:00 irq/42-pciehp
1 S     0      93       2  0   9   - -     0 -      ?        00:00:00 irq/43-pciehp
1 S     0      94       2  0   9   - -     0 -      ?        00:00:00 irq/44-pciehp
1 S     0      95       2  0   9   - -     0 -      ?        00:00:00 irq/45-pciehp
1 S     0      96       2  0   9   - -     0 -      ?        00:00:00 irq/46-pciehp
1 S     0      97       2  0   9   - -     0 -      ?        00:00:00 irq/47-pciehp
1 S     0      98       2  0   9   - -     0 -      ?        00:00:00 irq/48-pciehp
1 S     0      99       2  0   9   - -     0 -      ?        00:00:00 irq/49-pciehp
1 S     0     100       2  0   9   - -     0 -      ?        00:00:00 irq/50-pciehp
1 S     0     101       2  0   9   - -     0 -      ?        00:00:00 irq/51-pciehp
1 S     0     102       2  0   9   - -     0 -      ?        00:00:00 irq/52-pciehp
1 S     0     103       2  0   9   - -     0 -      ?        00:00:00 irq/53-pciehp
1 S     0     104       2  0   9   - -     0 -      ?        00:00:00 irq/54-pciehp
1 S     0     105       2  0   9   - -     0 -      ?        00:00:00 irq/55-pciehp
1 I     0     106       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-acpi_thermal_pm
1 I     0     107       2  0  80   0 -     0 -      ?        00:00:00 kworker/u514:1-flush-8:0
1 S     0     109       2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_0
1 I     0     110       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-scsi_tmf_0
1 S     0     111       2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_1
1 I     0     112       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-scsi_tmf_1
1 I     0     114       2  0  80   0 -     0 -      ?        00:00:00 kworker/u514:3-events_power_efficient
1 I     0     116       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-mld
1 I     0     118       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-ipv6_addrconf
1 I     0     119       2  0  80   0 -     0 -      ?        00:00:00 kworker/u512:1-ipv6_addrconf
1 I     0     122       2  0  80   0 -     0 -      ?        00:00:00 kworker/3:2-cgroup_destroy
1 I     0     128       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-kstrp
1 I     0     130       2  0  60 -20 -     0 -      ?        00:00:00 kworker/u517:0
1 I     0     134       2  0  60 -20 -     0 -      ?        00:00:00 kworker/u521:0-ttm
1 I     0     148       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-charger_manager
1 I     0     149       2  0  60 -20 -     0 -      ?        00:00:00 kworker/0:1H-kblockd
1 I     0     175       2  0  60 -20 -     0 -      ?        00:00:00 kworker/3:1H-kblockd
1 I     0     202       2  0  80   0 -     0 -      ?        00:00:02 kworker/2:2-mm_percpu_wq
1 I     0     203       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-mpt_poll_0
1 I     0     204       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-mpt/0
1 I     0     205       2  0  80   0 -     0 -      ?        00:00:01 kworker/0:2-mm_percpu_wq
1 S     0     206       2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_2
1 I     0     207       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-scsi_tmf_2
1 S     0     208       2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_3
1 I     0     209       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-scsi_tmf_3
1 S     0     210       2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_4
1 I     0     211       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-scsi_tmf_4
1 S     0     212       2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_5
1 I     0     213       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-scsi_tmf_5
1 S     0     214       2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_6
1 I     0     215       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-scsi_tmf_6
1 S     0     216       2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_7
1 I     0     217       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-scsi_tmf_7
1 S     0     218       2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_8
1 I     0     219       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-scsi_tmf_8
1 S     0     220       2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_9
1 I     0     221       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-scsi_tmf_9
1 S     0     222       2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_10
1 I     0     223       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-scsi_tmf_10
1 S     0     224       2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_11
1 I     0     225       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-scsi_tmf_11
1 S     0     226       2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_12
1 I     0     227       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-scsi_tmf_12
1 S     0     228       2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_13
1 I     0     229       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-scsi_tmf_13
1 S     0     230       2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_14
1 I     0     231       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-scsi_tmf_14
1 S     0     232       2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_15
1 I     0     233       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-scsi_tmf_15
1 S     0     234       2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_16
1 I     0     235       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-scsi_tmf_16
1 S     0     236       2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_17
1 S     0     237       2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_18
1 I     0     238       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-scsi_tmf_18
1 I     0     239       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-scsi_tmf_17
1 S     0     240       2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_19
1 I     0     241       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-scsi_tmf_19
1 S     0     242       2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_20
1 I     0     243       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-scsi_tmf_20
1 S     0     244       2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_21
1 I     0     245       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-scsi_tmf_21
1 S     0     246       2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_22
1 I     0     247       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-scsi_tmf_22
1 S     0     248       2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_23
1 I     0     249       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-scsi_tmf_23
1 S     0     250       2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_24
1 I     0     251       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-scsi_tmf_24
