F S   UID     PID    PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
0 R  1000   10617    8597 95  80   0 -   653 -      pts/2    00:00:00 pb.exe
1 R  1000   10618   10617 58  80   0 -   686 -      pts/2    00:00:00 pb.exe
4 S     0       1       0  0  80   0 -  5964 -      ?        00:00:23 systemd
4 S     0     409       1  0  79  -1 - 14567 -      ?        00:00:04 systemd-journal
4 S     0     466       1  0  80   0 -  8113 -      ?        00:00:01 systemd-udevd
4 S   990    1164       1  0  80   0 -  4185 -      ?        00:01:30 systemd-oomd
4 S   991    1165       1  0  80   0 -  5327 -      ?        00:00:02 systemd-resolve
4 S   996    1166       1  0  80   0 - 22557 -      ?        00:00:00 systemd-timesyn
4 S     0    1583       1  0  80   0 -  4375 -      ?        00:00:01 systemd-logind
4 S  1000    3070       1  0  80   0 -  5384 -      ?        00:00:02 systemd
4 S   998    4827       1  0  80   0 -  4568 -      ?        00:00:00 systemd-network
Fri Feb 21 05:49:20 PM EST 2025
0 R  1000   10617    8597 92  80   0 -   653 -      pts/2    00:00:01 pb.exe
1 R  1000   10618   10617 55  80   0 -   686 -      pts/2    00:00:01 pb.exe
4 S     0       1       0  0  80   0 -  5964 -      ?        00:00:23 systemd
4 S     0     409       1  0  79  -1 - 14567 -      ?        00:00:04 systemd-journal
4 S     0     466       1  0  80   0 -  8113 -      ?        00:00:01 systemd-udevd
4 S   990    1164       1  0  80   0 -  4185 -      ?        00:01:30 systemd-oomd
4 S   991    1165       1  0  80   0 -  5327 -      ?        00:00:02 systemd-resolve
4 S   996    1166       1  0  80   0 - 22557 -      ?        00:00:00 systemd-timesyn
4 S     0    1583       1  0  80   0 -  4375 -      ?        00:00:01 systemd-logind
4 S  1000    3070       1  0  80   0 -  5384 -      ?        00:00:02 systemd
4 S   998    4827       1  0  80   0 -  4568 -      ?        00:00:00 systemd-network
Fri Feb 21 05:49:21 PM EST 2025
0 R  1000   10617    8597 93  80   0 -   653 -      pts/2    00:00:03 pb.exe
1 R  1000   10618   10617 52  80   0 -   686 -      pts/2    00:00:01 pb.exe
4 S     0       1       0  0  80   0 -  5964 -      ?        00:00:23 systemd
4 S     0     409       1  0  79  -1 - 14567 -      ?        00:00:04 systemd-journal
4 S     0     466       1  0  80   0 -  8113 -      ?        00:00:01 systemd-udevd
4 S   990    1164       1  0  80   0 -  4185 -      ?        00:01:30 systemd-oomd
4 S   991    1165       1  0  80   0 -  5327 -      ?        00:00:02 systemd-resolve
4 S   996    1166       1  0  80   0 - 22557 -      ?        00:00:00 systemd-timesyn
4 S     0    1583       1  0  80   0 -  4375 -      ?        00:00:01 systemd-logind
4 S  1000    3070       1  0  80   0 -  5384 -      ?        00:00:02 systemd
4 S   998    4827       1  0  80   0 -  4568 -      ?        00:00:00 systemd-network
Fri Feb 21 05:49:22 PM EST 2025
0 R  1000   10617    8597 93  80   0 -   653 -      pts/2    00:00:04 pb.exe
1 R  1000   10618   10617 53  80   0 -   686 -      pts/2    00:00:02 pb.exe
4 S     0       1       0  0  80   0 -  5964 -      ?        00:00:23 systemd
4 S     0     409       1  0  79  -1 - 14567 -      ?        00:00:04 systemd-journal
4 S     0     466       1  0  80   0 -  8113 -      ?        00:00:01 systemd-udevd
4 S   990    1164       1  0  80   0 -  4185 -      ?        00:01:30 systemd-oomd
4 S   991    1165       1  0  80   0 -  5327 -      ?        00:00:02 systemd-resolve
